Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Lima,Peru,2020-03-18T16:59:34,119,0,1,,
Loreto,Peru,2020-03-18T16:59:34,10,0,0,,
Lambayeque,Peru,2020-03-18T16:59:34,6,0,0,,
Callao,Peru,2020-03-18T16:59:34,5,0,0,,
Cusco,Peru,2020-03-18T16:59:34,3,0,0,,
Piura,Peru,2020-03-18T16:59:34,2,0,0,,
La Libertad,Peru,2020-03-18T16:59:34,2,0,0,,
Ancash ,Peru,2020-03-18T16:59:34,2,0,0,,
Huanuco,Peru,2020-03-18T16:59:34,2,0,0,,
Arequipa,Peru,2020-03-18T16:59:34,2,0,0,,
Ica,Peru,2020-03-18T16:59:34,1,0,0,,
Madre de dios,Peru,2020-03-18T16:59:34,1,0,0,,
Tumbes,Peru,2020-03-18T16:59:34,0,0,0,,
Cajamarca,Peru,2020-03-18T16:59:34,0,0,0,,
Amazonas,Peru,2020-03-18T16:59:34,0,0,0,,
San Martin,Peru,2020-03-18T16:59:34,0,0,0,,
Ucayali,Peru,2020-03-18T16:59:34,0,0,0,,
Pasco,Peru,2020-03-18T16:59:34,0,0,0,,
Junin,Peru,2020-03-18T16:59:34,0,0,0,,
Huancavelica,Peru,2020-03-18T16:59:34,0,0,0,,
Ayacucho,Peru,2020-03-18T16:59:34,0,0,0,,
Apurimac,Peru,2020-03-18T16:59:34,0,0,0,,
Puno,Peru,2020-03-18T16:59:34,0,0,0,,
Moquegua,Peru,2020-03-18T16:59:34,0,0,0,,
Tacna,Peru,2020-03-18T16:59:34,0,0,0,,
,Brazil,,,,,-14.235,-51.9253
,Ecuador,,,,,-1.8312,-78.1834
,Colombia,,,,,4.5709,-74.2973
,Mexico,,,,,23.6345,-102.5528
,Panama,,,,,8.538,-80.7821
,Argentina,,,,,-38.4161,-63.6167
,Costa Rica,,,,,9.7489,-83.7534
,Uruguay,,,,,-32.5228,-55.7658
,Venezuela,,,,,6.4238,-66.5897
,Dominican Republic,,,,,18.7357,-70.1627
,Bolivia,,,,,-16.2902,-63.5887
,Paraguay,,,,,-23.4425,-58.4438
,Honduras,,,,,15.2,-86.2419
,El Salvador,,,,,,
,Nicaragua,,,,,,
Arica y Parinacota,Chile,2020-03-19T00:00:12,1,0,0,,
Tarapaca,Chile,2020-03-19T00:00:12,0,0,0,,
Antofagasta,Chile,2020-03-19T00:00:12,2,0,0,,
Atacama,Chile,2020-03-19T00:00:12,1,0,0,,
Coquimbo,Chile,2020-03-19T00:00:12,2,0,0,,
Valparaiso,Chile,2020-03-19T00:00:12,4,0,0,,
Santiago,Chile,2020-03-19T00:00:12,247,0,0,,
O'Higgins,Chile,2020-03-19T00:00:12,2,0,0,,
Maule,Chile,2020-03-19T00:00:12,14,0,0,,
Nuble,Chile,2020-03-19T00:00:12,28,0,0,,
Biobio,Chile,2020-03-19T00:00:12,14,0,0,,
Araucania,Chile,2020-03-19T00:00:12,7,0,0,,
Los Rios,Chile,2020-03-19T00:00:12,1,0,0,,
Los Lagos,Chile,2020-03-19T00:00:12,16,0,0,,
Aysen,Chile,2020-03-19T00:00:12,1,0,0,,
Magallanes,Chile,2020-03-19T00:00:12,2,0,0,,
