Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Lima,Peru,,8,0,0,,
Loreto,Peru,,0,0,0,,
Lambayeque,Peru,,0,0,0,,
Callao,Peru,,0,0,0,,
Cusco,Peru,,0,0,0,,
Piura,Peru,,0,0,0,,
La Libertad,Peru,,0,0,0,,
"Ancash ",Peru,,0,0,0,,
Huanuco,Peru,,2,0,0,,
Arequipa,Peru,,1,0,0,,
Ica,Peru,,0,0,0,,
Madre de dios,Peru,,0,0,0,,
Tumbes,Peru,,0,0,0,,
Cajamarca,Peru,,0,0,0,,
Amazonas,Peru,,0,0,0,,
San Martin,Peru,,0,0,0,,
Ucayali,Peru,,0,0,0,,
Pasco,Peru,,0,0,0,,
Junin,Peru,,0,0,0,,
Huancavelica,Peru,,0,0,0,,
Ayacucho,Peru,,0,0,0,,
Apurimac,Peru,,0,0,0,,
Puno,Peru,,0,0,0,,
Moquegua,Peru,,0,0,0,,
Tacna,Peru,,0,0,0,,
,Brazil,2020-03-10T16:53:13,31,0,0,-14.235,-51.9253
,Ecuador,2020-03-09T09:03:03,15,0,0,-1.8312,-78.1834
,Colombia,2020-03-10T05:33:02,3,0,0,4.5709,-74.2973
,Mexico,2020-03-10T05:13:07,7,0,4,23,-102
,Panama,2020-03-10T06:13:43,1,0,0,8.538,-80.7821
,Argentina,2020-03-10T05:13:07,17,1,0,-38.4161,-63.6167
,Costa Rica,2020-03-09T09:03:03,9,0,0,9.7489,-83.7534
,Uruguay,,0,0,0,-32.5228,-55.7658
,Venezuela,,0,0,0,6.4238,-66.5897
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627
,Bolivia,,0,0,0,-16.2902,-63.5887
,Paraguay,2020-03-08T09:13:16,1,0,0,-23.4425,-58.4438
,Honduras,,0,0,0,15.2,-86.2419
,El Salvador,,0,0,0,,
,Nicaragua,,0,0,0,,
Arica y Parinacota,Chile,2020-03-10T15:00:00,0,0,0,,
Tarapaca,Chile,2020-03-10T15:00:00,0,0,0,,
Antofagasta,Chile,2020-03-10T15:00:00,0,0,0,,
Atacama,Chile,2020-03-10T15:00:00,0,0,0,,
Coquimbo,Chile,2020-03-10T15:00:00,0,0,0,,
Valparaiso,Chile,2020-03-10T15:00:00,0,0,0,,
Santiago,Chile,2020-03-10T15:00:00,7,0,0,,
O'Higgins,Chile,2020-03-10T15:00:00,0,0,0,,
Maule,Chile,2020-03-10T15:00:00,4,0,0,,
Nuble,Chile,2020-03-10T15:00:00,0,0,0,,
Biobio,Chile,2020-03-10T15:00:00,1,0,0,,
Araucania,Chile,2020-03-10T15:00:00,0,0,0,,
Los Rios,Chile,2020-03-10T15:00:00,0,0,0,,
Los Lagos,Chile,2020-03-10T15:00:00,1,0,0,,
Aysen,Chile,2020-03-10T15:00:00,0,0,0,,
Magallanes,Chile,2020-03-10T15:00:00,0,0,0,,
Araucania,Chile,2020-03-10T15:00:00,0,0,0,,
Los Rios,Chile,2020-03-10T15:00:00,0,0,0,,
Los Lagos,Chile,2020-03-10T15:00:00,0,0,0,,
Aysen,Chile,2020-03-10T15:00:00,0,0,0,,
Magallanes,Chile,2020-03-10T15:00:00,0,0,0,,
