Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CABA,Argentina,2020-03-04T01:45:00,,,,,
Buenos Aires,Argentina,2020-03-04T01:45:00,,,,,
Chaco,Argentina,2020-03-04T01:45:00,,,,,
Cordoba,Argentina,2020-03-04T01:45:00,,,,,
Entre Rios,Argentina,2020-03-04T01:45:00,,,,,
Rio Negro,Argentina,2020-03-04T01:45:00,,,,,
Tiera del Fuego,Argentina,2020-03-04T01:45:00,,,,,
Jujuy,Argentina,2020-03-04T01:45:00,,,,,
Salta,Argentina,2020-03-04T01:45:00,,,,,
San Luis,Argentina,2020-03-04T01:45:00,,,,,
Santa Cruz,Argentina,2020-03-04T01:45:00,,,,,
Santa Fe,Argentina,2020-03-04T01:45:00,,,,,
Beni,Bolivia,,0,0,0,,
Chuquisaca,Bolivia,,0,0,0,,
Cochabamba,Bolivia,,0,0,0,,
La Paz,Bolivia,,0,0,0,,
Oruro,Bolivia,,0,0,0,,
Pando,Bolivia,,0,0,0,,
Potosi,Bolivia,,0,0,0,,
Santa Cruz,Bolivia,,0,0,0,,
Tarija,Bolivia,,0,0,0,,
Acre,Brazil,,0,0,0,,
Alagoas,Brazil,,0,0,0,,
Amapa,Brazil,,0,0,0,,
Amazonas,Brazil,,0,0,0,,
Bahia,Brazil,,0,0,0,,
Ceara,Brazil,,0,0,0,,
Distrito Federal,Brazil,,0,0,0,,
Espiritu Santo,Brazil,,0,0,0,,
Goias,Brazil,,0,0,0,,
Maranhao,Brazil,,0,0,0,,
Mato Grosso,Brazil,,0,0,0,,
Mato Grosso do Sul,Brazil,,0,0,0,,
Minas Gerais,Brazil,,0,0,0,,
Para,Brazil,,0,0,0,,
Paraiba,Brazil,,0,0,0,,
Parana,Brazil,,0,0,0,,
Pernambuco,Brazil,,0,0,0,,
Piaui,Brazil,,0,0,0,,
Rio de Janeiro,Brazil,,0,0,0,,
Rio Grande do Norte,Brazil,,0,0,0,,
Rio Grande do Sul,Brazil,,0,0,0,,
Rondonia,Brazil,,0,0,0,,
Roraima,Brazil,,0,0,0,,
Santa Catarina,Brazil,,0,0,0,,
Sao Paulo,Brazil,,0,0,0,,
Sergipe,Brazil,,0,0,0,,
Tocantins,Brazil,,0,0,0,,
Arica y Parinacota,Chile,2020-03-23T05:00:33,0,0,0,-18.539468,-69.714608
Tarapaca,Chile,2020-03-23T05:00:33,0,0,0,-20.099081,-69.456921
Antofagasta,Chile,2020-03-23T05:00:33,0,0,0,-23.446309,-68.998489
Atacama,Chile,2020-03-23T05:00:33,0,0,0,-27.648325,-70.432532
Coquimbo,Chile,2020-03-23T05:00:33,0,0,0,-30.540377,-70.967739
Valparaiso,Chile,2020-03-23T05:00:33,0,0,0,-32.740869,-71.404539
Santiago,Chile,2020-03-23T05:00:33,1,0,0,-33.478729,-70.590026
O'Higgins,Chile,2020-03-23T05:00:33,0,0,0,-34.434588,-71.154459
Maule,Chile,2020-03-23T05:00:33,2,0,0,-35.500972,-71.727129
Nuble,Chile,2020-03-23T05:00:33,0,0,0,-36.60281,-72.073119
Biobio,Chile,2020-03-23T05:00:33,0,0,0,-37.225612,-73.108534
Araucania,Chile,2020-03-23T05:00:33,0,0,0,-38.782228,-72.543252
Los Rios,Chile,2020-03-23T05:00:33,0,0,0,-39.922539,-72.588985
Los Lagos,Chile,2020-03-23T05:00:33,0,0,0,-42.046638,-73.008764
Aysen,Chile,2020-03-23T05:00:33,0,0,0,-46.035339,-73.036435
Magallanes,Chile,2020-03-23T05:00:33,0,0,0,-51.902416,-73.244018
Amazonas,Colombia,,0,0,0,,
Antioquia,Colombia,,0,0,0,,
Arauca,Colombia,,0,0,0,,
Atlantico,Colombia,,0,0,0,,
Bogota,Colombia,,0,0,0,,
Bolivar,Colombia,,0,0,0,,
Boyaca,Colombia,,0,0,0,,
Caldas,Colombia,,0,0,0,,
Caqueta,Colombia,,0,0,0,,
Casanare,Colombia,,0,0,0,,
Cauca,Colombia,,0,0,0,,
Cesar,Colombia,,0,0,0,,
Choco,Colombia,,0,0,0,,
Cordoba,Colombia,,0,0,0,,
Cundinamarca,Colombia,,0,0,0,,
Guainia,Colombia,,0,0,0,,
Guaviare,Colombia,,0,0,0,,
Huila,Colombia,,0,0,0,,
La Guajira,Colombia,,0,0,0,,
Magdalena,Colombia,,0,0,0,,
Meta,Colombia,,0,0,0,,
Narino,Colombia,,0,0,0,,
Norte de Santander,Colombia,,0,0,0,,
Putumayo,Colombia,,0,0,0,,
Quindio,Colombia,,0,0,0,,
Risaralda,Colombia,,0,0,0,,
San Andres y Providencia,Colombia,,0,0,0,,
Santander,Colombia,,0,0,0,,
Sucre,Colombia,,0,0,0,,
Tolima,Colombia,,0,0,0,,
Valle del Cauca,Colombia,,0,0,0,,
Vaupes,Colombia,,0,0,0,,
