ISO 3166-2 Code,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
AR-C,Ciudad Autonoma de Buenos Aires,Argentina,"",,,
AR-B,Buenos Aires,Argentina,"",,,
AR-K,Catamarca,Argentina,"",,,
AR-H,Chaco,Argentina,"",,,
AR-U,Chubut,Argentina,"",,,
AR-X,Cordoba,Argentina,"",,,
AR-W,Corrientes,Argentina,"",,,
AR-E,Entre Rios,Argentina,"",,,
AR-P,Formosa,Argentina,"",,,
AR-Y,Jujuy,Argentina,"",,,
AR-L,La Pampa,Argentina,"",,,
AR-F,La Rioja,Argentina,"",,,
AR-M,Mendoza,Argentina,"","","",""
AR-N,Misiones,Argentina,"","","",""
AR-Q,Neuquen,Argentina,"","","",""
AR-R,Rio Negro,Argentina,"","","",""
AR-A,Salta,Argentina,"","","",""
AR-J,San Juan,Argentina,"","","",""
AR-D,San Luis,Argentina,"","","",""
AR-Z,Santa Cruz,Argentina,"","","",""
AR-S,Santa Fe,Argentina,"","","",""
AR-G,Santiago del Estero,Argentina,"","","",""
AR-V,Tierra del Fuego,Argentina,"","","",""
AR-T,Tucuman,Argentina,"","","",""
Beni,Bolivia,2020-03-15T16:00:00,0,0,0,,
Chuquisaca,Bolivia,2020-03-15T16:00:00,0,0,0,,
Cochabamba,Bolivia,2020-03-15T16:00:00,1,0,0,,
La Paz,Bolivia,2020-03-15T16:00:00,0,0,0,,
Oruro,Bolivia,2020-03-15T16:00:00,7,0,0,,
Pando,Bolivia,2020-03-15T16:00:00,0,0,0,,
Potosi,Bolivia,2020-03-15T16:00:00,0,0,0,,
Santa Cruz,Bolivia,2020-03-15T16:00:00,3,0,0,,
Tarija,Bolivia,2020-03-15T16:00:00,0,0,0,,
Acre,Brazil,,,,,,
Alagoas,Brazil,,,,,,
Amapa,Brazil,,,,,,
Amazonas,Brazil,,,,,,
Bahia,Brazil,,,,,,
Ceara,Brazil,,,,,,
Distrito Federal,Brazil,,,,,,
Espiritu Santo,Brazil,,,,,,
Goias,Brazil,,,,,,
Maranhao,Brazil,,,,,,
Mato Grosso,Brazil,,,,,,
Mato Grosso do Sul,Brazil,,,,,,
Minas Gerais,Brazil,,,,,,
Para,Brazil,,,,,,
Paraiba,Brazil,,,,,,
Parana,Brazil,,,,,,
Pernambuco,Brazil,,,,,,
Piaui,Brazil,,,,,,
Rio de Janeiro,Brazil,,,,,,
Rio Grande do Norte,Brazil,,,,,,
Rio Grande do Sul,Brazil,,,,,,
Rondonia,Brazil,,,,,,
Roraima,Brazil,,,,,,
