Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CABA,Argentina,,,,,,
Buenos Aires,Argentina,,,,,,
Chaco,Argentina,,,,,,
Cordoba,Argentina,,,,,,
Entre Rios,Argentina,,,,,,
Rio Negro,Argentina,,,,,,
Tiera del Fuego,Argentina,,,,,,
Jujuy,Argentina,,,,,,
Salta,Argentina,,,,,,
San Luis,Argentina,,,,,,
Santa Cruz,Argentina,,,,,,
Santa Fe,Argentina,,,,,,
Beni,Bolivia,,,,,,
Chuquisaca,Bolivia,,,,,,
Cochabamba,Bolivia,,,,,,
La Paz,Bolivia,,,,,,
Oruro,Bolivia,,,,,,
Pando,Bolivia,,,,,,
Potosi,Bolivia,,,,,,
Santa Cruz,Bolivia,,,,,,
Tarija,Bolivia,,,,,,
Acre,Brazil,,,,,,
Alagoas,Brazil,,,,,,
Amapa,Brazil,,,,,,
Amazonas,Brazil,,,,,,
Bahia,Brazil,,,,,,
Ceara,Brazil,,,,,,
Distrito Federal,Brazil,,,,,,
Espiritu Santo,Brazil,,,,,,
Goias,Brazil,,,,,,
Maranhao,Brazil,,,,,,
Mato Grosso,Brazil,,,,,,
Mato Grosso do Sul,Brazil,,,,,,
Minas Gerais,Brazil,,,,,,
Para,Brazil,,,,,,
Paraiba,Brazil,,,,,,
Parana,Brazil,,,,,,
Pernambuco,Brazil,,,,,,
Piaui,Brazil,,,,,,
Rio de Janeiro,Brazil,,,,,,
Rio Grande do Norte,Brazil,,,,,,
Rio Grande do Sul,Brazil,,,,,,
Rondonia,Brazil,,,,,,
Roraima,Brazil,,,,,,
Santa Catarina,Brazil,,,,,,
Sao Paulo,Brazil,,,,,,
Sergipe,Brazil,,,,,,
Tocantins,Brazil,,,,,,
Arica y Parinacota,Chile,2020-03-24T00:40:13,2,0,0,-18.539468,-69.714608
Tarapaca,Chile,2020-03-24T00:40:13,1,0,0,-20.099081,-69.456921
Antofagasta,Chile,2020-03-24T00:40:13,11,0,0,-23.446309,-68.998489
Atacama,Chile,2020-03-24T00:40:13,1,0,0,-27.648325,-70.432532
Coquimbo,Chile,2020-03-24T00:40:13,6,0,0,-30.540377,-70.967739
Valparaiso,Chile,2020-03-24T00:40:13,19,0,0,-32.740869,-71.404539
Santiago,Chile,2020-03-24T00:40:13,459,0,2,-33.478729,-70.590026
O'Higgins,Chile,2020-03-24T00:40:13,8,0,0,-34.434588,-71.154459
Maule,Chile,2020-03-24T00:40:13,28,0,0,-35.500972,-71.727129
Nuble,Chile,2020-03-24T00:40:13,81,0,0,-36.60281,-72.073119
Biobio,Chile,2020-03-24T00:40:13,46,0,0,-37.225612,-73.108534
Araucania,Chile,2020-03-24T00:40:13,40,0,0,-38.782228,-72.543252
Los Rios,Chile,2020-03-24T00:40:13,4,0,0,-39.922539,-72.588985
Los Lagos,Chile,2020-03-24T00:40:13,33,0,0,-42.046638,-73.008764
Aysen,Chile,2020-03-24T00:40:13,1,0,0,-46.035339,-73.036435
Magallanes,Chile,2020-03-24T00:40:13,6,0,0,-51.902416,-73.244018
Amazonas,Colombia,,,,,,
Antioquia,Colombia,,,,,,
Arauca,Colombia,,,,,,
Atlantico,Colombia,,,,,,
Bogota,Colombia,,,,,,
Bolivar,Colombia,,,,,,
Boyaca,Colombia,,,,,,
Caldas,Colombia,,,,,,
Caqueta,Colombia,,,,,,
Casanare,Colombia,,,,,,
Cauca,Colombia,,,,,,
"Cesar ",Colombia,,,,,,
Choco,Colombia,,,,,,
Cordoba,Colombia,,,,,,
Cundinamarca,Colombia,,,,,,
Guainia,Colombia,,,,,,
Guaviare,Colombia,,,,,,
Huila,Colombia,,,,,,
La Guajira,Colombia,,,,,,
Magdalena,Colombia,,,,,,
Meta,Colombia,,,,,,
Narino,Colombia,,,,,,
Norte de Santander,Colombia,,,,,,
Putumayo,Colombia,,,,,,
Quindio,Colombia,,,,,,
Risaralda,Colombia,,,,,,
San Andres y Providencia,Colombia,,,,,,
Santander,Colombia,,,,,,
Sucre,Colombia,,,,,,
Tolima,Colombia,,,,,,
Valle del Cauca,Colombia,,,,,,
Vaupes,Colombia,,,,,,
Vichada,Colombia,,,,,,
Alajuela,Costa Rica,,,,,,
Cartago,Costa Rica,,,,,,
Guanacaste,Costa Rica,,,,,,
Heredia,Costa Rica,,,,,,
Limon,Costa Rica,,,,,,
Puntarenas,Costa Rica,,,,,,
San Jose,Costa Rica,,,,,,
Azua,Dominican Republic,,,,,,
Baoruco,Dominican Republic,,,,,,
Barahona,Dominican Republic,,,,,,
Dajabon,Dominican Republic,,,,,,
Distrito Nacional,Dominican Republic,,,,,,
Duarte,Dominican Republic,,,,,,
El Seibo,Dominican Republic,,,,,,
Elias Pina,Dominican Republic,,,,,,
Espaillat,Dominican Republic,,,,,,
Hato Mayor,Dominican Republic,,,,,,
Hermanas Mirabal,Dominican Republic,,,,,,
Independencia,Dominican Republic,,,,,,
La Altagracia,Dominican Republic,,,,,,
La Romana,Dominican Republic,,,,,,
