"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"105067",2019-11-01,33.2,20,"67.4","4"
"105067",2019-11-02,31.5,19.4,"72.4","3.9"
"105067",2019-11-03,31,20,"75.9","5.4"
"105067",2019-11-04,32.4,19.6,"69.7","1.8"
"105067",2019-11-05,31.6,20,"72.3","0"
"105067",2019-11-06,30.6,19.8,"72.7","1"
"105067",2019-11-07,29.4,19,"77.5","6.4"
"105067",2019-11-08,29.6,19.8,"74.1","0"
"105067",2019-11-09,32.2,19,"68.3","0"
"105067",2019-11-10,29.6,20.4,"85.3","2.6"
"105067",2019-11-11,28.4,20.2,"80.7","0.8"
"105067",2019-11-12,32.8,18.8,"71.3","0"
"105067",2019-11-13,34.6,20,"65.5","3.4"
"105067",2019-11-14,31,20,"76.1","3.8"
"105067",2019-11-15,33,18,"64.5","0"
"105067",2019-11-16,31,20.2,"73.4","0"
"105067",2019-11-17,36.2,17.2,"58.6","0"
"105067",2019-11-18,35.5,21.2,"59.6","0"
"105067",2019-11-19,34.4,21,"64.8","0.8"
"105067",2019-11-20,32.6,19.2,"70.5","0"
"105067",2019-11-21,34,20.6,"65.8","0"
"105067",2019-11-22,35.4,20,"63.3","2.5"
"105067",2019-11-23,32,18.6,"67.8","0"
"105067",2019-11-24,31.8,19,"63.8","0"
"105067",2019-11-25,30.6,20.4,"67.4","7"
"105067",2019-11-26,29.6,20,"73","0"
"105067",2019-11-27,30.5,20,"72.7","0"
"105067",2019-11-28,30.4,20.6,"75.8","0"
"105067",2019-11-29,31,21,"75.4","0"
"105067",2019-11-30,33,21,"66.8","0"
"105067",2019-12-01,29.6,22,"80.9","11.8"
"105067",2019-12-02,30,18.8,"75.5","0"
"105067",2019-12-03,31,20.2,"71.3","2.4"
"105067",2019-12-04,31,20,"S/D","15"
"105067",2019-12-05,27.6,18.2,"81.2","4.4"
"105067",2019-12-06,28.8,18.6,"83.8","2.2"
"105067",2019-12-07,31.2,19,"73.2","5.8"
"105067",2019-12-08,30.5,21,"82.1","25.3"
"105067",2019-12-09,29.4,19.8,"85.9","7.6"
"105067",2019-12-10,31,18.6,"72.9","0"
"105067",2019-12-11,32.6,20.2,"69.1","0"
"105067",2019-12-12,31.4,20.4,"74.7","9.6"
"105067",2019-12-13,33,19.4,"66.9","0"
"105067",2019-12-14,31.6,20.6,"69","0"
"105067",2019-12-15,30.5,20.4,"71.4","0"
"105067",2019-12-16,29,20,"74.4","0"
"105067",2019-12-17,29,19.8,"77.9","2.6"
"105067",2019-12-18,29.2,20.2,"74.7","10"
"105067",2019-12-19,27.4,19,"81.3","1.9"
"105067",2019-12-20,28.6,19,"82.7","3.4"
"105067",2019-12-21,30.5,19.4,"71.7","1.2"
"105067",2019-12-22,32.2,19.2,"70.8","1.2"
"105067",2019-12-23,29,20.2,"78.7","0.8"
"105067",2019-12-24,30,20,"71","0"
"105067",2019-12-25,33.5,20.2,"67.7","0.5"
"105067",2019-12-26,31.6,20.8,"75.6","2"
"105067",2019-12-27,31,20,"73.5","0"
"105067",2019-12-28,28.6,20,"75.4","2"
"105067",2019-12-29,30,20.2,"81.2","4.1"
"105067",2019-12-30,31,20.4,"77.6","5.5"
"105067",2019-12-31,31.6,21,"75.1","0"
"105067",2020-01-01,29,20.2,"78.1","25.5"
"105067",2020-01-02,25.4,18,"83.4","1.5"
"105067",2020-01-03,28.8,19.2,"78","0"
"105067",2020-01-04,30.8,19.4,"73.2","0"
"105067",2020-01-05,34.6,18,"61.7","0"
