ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
AR-B,Argentina,Buenos Aires,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,6,0,7,0,9.0,10.0,11.0,15,16.0,23.0,29,39,48,55.0,63.0,68,78.0,88.0,96.0,112.0,128.0,140,152.0,165.0,173.0,182.0,193.0,209.0,220.0,238.0,252.0,265.0,285.0,299.0,312.0,327.0,348.0,365.0,379.0,390.0,406.0,433.0,444.0,454.0,469.0,482.0,490.0,503.0,515.0,521.0,533.0,550.0,561.0,578.0,592.0,606.0,624.0,636.0,646.0,658.0,671.0,678.0,683.0,0.0
AR-K,Argentina,Catamarca,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-H,Argentina,Chaco,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2,6.0,7.0,0,8,0,9.0,10.0,11,12.0,0.0,0.0,0.0,14.0,0,15.0,0.0,0.0,16.0,0.0,17.0,19.0,21.0,0.0,22.0,0.0,25.0,26.0,29.0,30.0,31.0,33.0,34.0,0.0,35.0,37.0,38.0,0.0,42.0,45.0,48.0,50.0,51.0,54.0,55.0,57.0,58.0,60.0,64.0,66.0,68.0,0.0,73.0,76.0,78.0,82.0,0.0
AR-U,Argentina,Chubut,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,2.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,11.0,12.0,0.0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,4,0,5,6,9,10,0.0,11.0,0.0,14,17.0,18.0,23,28,32,36.0,37.0,42,0.0,46.0,54.0,61.0,68.0,71,79.0,95.0,101.0,107.0,112.0,116.0,125.0,136.0,146.0,155.0,158.0,164.0,170.0,177.0,186.0,193.0,204.0,213.0,219.0,227.0,239.0,250.0,258.0,271.0,276.0,281.0,287.0,292.0,298.0,304.0,309.0,318.0,327.0,336.0,340.0,348.0,350.0,355.0,361.0,368.0,369.0,371.0
AR-X,Argentina,Cordoba,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0,0,3,4.0,0.0,0,0.0,0.0,0.0,5.0,7.0,0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,12.0,15.0,0.0,0.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,0.0,26.0,28.0,0.0,0.0,30.0,33.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,40.0,0.0,0.0,41.0,42.0,0.0
AR-W,Argentina,Corrientes,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-E,Argentina,Entre Rios,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,4.0,5,7.0,8.0,12.0,13.0,0.0,0.0,16.0,17.0,18.0,0.0,21.0,22.0,25.0,28.0,29.0,30.0,0.0,0.0,0.0,31.0,32.0,0.0,34.0,0.0,36.0,0.0,0.0,38.0,0.0,39.0,40.0,41.0,0.0,0.0,0.0,42.0,0.0,0.0,43.0,44.0,45.0,0.0
AR-P,Argentina,Formosa,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-Y,Argentina,Jujuy,2020-05-20 15:47:55.324946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
