Code,"Subdivision
  Name (es)",District,"Code Weather
  Station",Weather Station Name,"Type Weather
  Station",Latitude,Longitude,Altitud (msnm)
PE-LMA,"Municipalidad Metropolitana de Lima",," ", ," ", , , 
PE-AMA,"Amazonas",ARAMANGO,"105075",ARAMANGO,"CO -  Meteorológica","5°25'11,77''","78°26'7,9''",508
PE-ANC,"Ancash",PARIACOTO,"109040",PARIACOTO,"Convencional - Meteorológica","9°33'8,61''","77°53'15,41''",1312
PE-APU,"Apurímac",CURAHUASI,"113029",CURAHUASI,"CP -  Meteorológica",13°33'8'',72°44'5'',2763
PE-ARE,"Arequipa",AREQUIPA,"116017",LA PAMPILLA,"MAP - Meteorológica","16°24'49,66''","71°32'4,31''",2326
PE-AYA,"Ayacucho",HUANCAPI,"113022",HUANCAPI,"CO -  Meteorológica",13°45'1'',74°4'14'',3120
PE-CAJ,"Cajamarca",JAEN,"105067",JAEN,"CP -  Meteorológica","5°40'35,89''","78°46'26,96''",618
PE-CUS,"Cusco ",SAN JERONIMO,"100044",GRANJA KCAYRA,"MAP - Meteorológica",13°33'25'',71°52'31'',3219
PE-CAL,"El Callao",SAN MARTIN DE PORRES,"112265",CALLAO / SAN MARTIN DE PORRES,"EAA - Meteorológica",12°0'32'',"77°5'4,1''",56
PE-HUV,"Huancavelica",ASCENCION,"112061",HUANCAVELICA,"CO -  Meteorológica",12°46'49'',75°2'10'',3860
PE-HUC,"Huánuco",AMARILIS,"109003",HUANUCO,"CP -  Meteorológica","9°57'7,24''","76°14'54,8''",1947
PE-ICA,"Ica",SAN JOSE DE LOS MOLINOS,"113010",HUAMANI,"CO - Meteorológica","13°50'34,8''","75°36'25,33''",790
PE-JUN,"Junín",JUNIN,"111583",JUNIN,"CO -  Meteorológica","11°8'35,8''","75°59'19,6''",4120
PE-LAL,"La Libertad",LAREDO,"108068",TRUJILLO,"CO -  Meteorológica","8°6'43,29''","78°59'6,36''",44
PE-LAM,"Lambayeque",LAMBAYEQUE,"106108",LAMBAYEQUE,"CP - Meteorológica","6°43'53,5''","79°54'35,41''",18
PE-LIM,"Lima",SAN BORJA,"112193",SAN BORJA,"EAA - Meteorológica","12°6'31,06''","77°0'27,96''",136
PE-LOR,"Loreto",IQUITOS,"103015",PUNCHANA,"PE -  Meteorológica","3°41'24,1''","73°15'14,6''",116
PE-MDD,"Madre de Dios",TAMBOPATA,"100109",PUERTO MALDONADO,"CP -  Meteorológica",12°35'1'',69°12'1'',200
PE-MOQ,"Moquegua",CARUMAS,"116025",CARUMAS,"CO -  Meteorológica",16°48'47'',70°41'40'',2976
PE-PAS,"Pasco",CHAUPIMARCA,"110037",CERRO DE PASCO,"CO -  Meteorológica",10°41'37'',76°15'1'',4260
PE-PIU,"Piura",CASTILLA,"105100",MIRAFLORES,"MAP - Meteorológica",5°10'31'',"80°36'59,55''",34
PE-PUN,"Puno",ANANEA,"114050",ANANEA,"CO -  Meteorológica","14°40'43,4''","69°32'4,3''",4660
PE-SAM,"San Martín",CAYNARACHI,"100104",PONGO DE CAYNARACHI,"CO -  Meteorológica",6°20'1'',76°18'1'',230
PE-TAC,"Tacna",TACNA,"118004",JORGE BASADRE,"MAP -  Meteorológica","18°1'36,8''","70°15'5,5''",538
PE-TUM,"Tumbes",SAN JACINTO,"103036",RICA PLAYA,"CO - Meteorológica","3°48'42,84''","80°30'19,65''",68
PE-UCA,"Ucayali",CURIMANA,"108026",LAS PALMERAS DE UCAYALI,"CP - Meteorológica","8°34'56,98''","74°51'58,07''",170
