"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"105100",2019-11-01,31.4,19.2,"77.4","0"
"105100",2019-11-02,30.8,19,"74.3","0"
"105100",2019-11-03,30.6,19.2,"75.1","0"
"105100",2019-11-04,31.8,19,"77.9","0"
"105100",2019-11-05,32.2,19.2,"72.6","0.5"
"105100",2019-11-06,31.4,18.6,"76.1","0"
"105100",2019-11-07,32.2,18.6,"75.9","0"
"105100",2019-11-08,31.6,17.8,"74.4","0"
"105100",2019-11-09,32.2,18.6,"75.1","0"
"105100",2019-11-10,32,19.6,"77.1","0"
"105100",2019-11-11,31.8,19.8,"81.5","0"
"105100",2019-11-12,29,19.2,"79.3","0"
"105100",2019-11-13,30.4,19.6,"81.3","0"
"105100",2019-11-14,31.8,19.8,"77.5","0"
"105100",2019-11-15,30.8,19,"75.8","0"
"105100",2019-11-16,28.8,19.6,"80.4","0"
"105100",2019-11-17,29.2,19.4,"78.1","0"
"105100",2019-11-18,27.4,19.6,"83.3","0"
"105100",2019-11-19,29.2,19.2,"85.3","0"
"105100",2019-11-20,32,18.6,"83.5","0"
"105100",2019-11-21,30.2,20.4,"80.75","0"
"105100",2019-11-22,30.8,20.8,"78","0"
"105100",2019-11-23,26.8,18.6,"82.4","0"
"105100",2019-11-24,27.8,20.2,"81.9","0"
"105100",2019-11-25,25.6,20,"91.3","0"
"105100",2019-11-26,31,20.2,"77.5","0"
"105100",2019-11-27,33,20.2,"76.6","0"
"105100",2019-11-28,32.8,20,"74.6","0"
"105100",2019-11-29,33.2,21.2,"78.7","0"
"105100",2019-11-30,29,20.8,"87.5","0"
"105100",2019-12-01,32,21.4,"74.5","0"
"105100",2019-12-02,33.2,21.2,"71.3","0"
"105100",2019-12-03,33.8,21.4,"75.7","0"
"105100",2019-12-04,33.6,21.6,"72.4","0"
"105100",2019-12-05,33.8,22,"69.3","0"
"105100",2019-12-06,33,21.8,"74.9","0"
"105100",2019-12-07,33.2,22,"78.2","0"
"105100",2019-12-08,31.4,20.8,"71.8","0"
"105100",2019-12-09,30.2,20,"75.5","0"
"105100",2019-12-10,29.8,19.8,"82.3","0"
"105100",2019-12-11,31.4,21.6,"79.3","0"
"105100",2019-12-12,31.2,21.8,"78.7","0"
"105100",2019-12-13,33.8,21,"63.9","0"
"105100",2019-12-14,31,21.4,"78.2","0"
"105100",2019-12-15,32.8,19.8,"74.2","0"
"105100",2019-12-16,33,20.8,"71.2","0"
"105100",2019-12-17,32.2,20.2,"74.5","0"
"105100",2019-12-18,33.2,21.6,"74.8","0"
"105100",2019-12-19,32.2,21.8,"74.7","0"
"105100",2019-12-20,32.6,21,"71.6","0"
"105100",2019-12-21,34,21.2,"70.3","0"
"105100",2019-12-22,34.2,22.6,"73.6","0"
"105100",2019-12-23,34.4,21.6,"68.2","0"
"105100",2019-12-24,34.8,21.2,"69.2","0"
"105100",2019-12-25,33.2,21,"75.6","0"
"105100",2019-12-26,34.2,20.8,"69.8","0"
"105100",2019-12-27,34.4,22,"74.2","0"
"105100",2019-12-28,35.6,22.6,"73.2","11"
"105100",2019-12-29,32.2,21.2,"81.3","0"
"105100",2019-12-30,33.2,23,"69.2","0"
"105100",2019-12-31,35,22.6,"76.1","0"
"105100",2020-01-01,34.8,22.2,"70.8","0"
"105100",2020-01-02,34,23,"67.7","0"
"105100",2020-01-03,34.8,22.8,"66.9","0"
"105100",2020-01-04,35.2,22.8,"67.5","0"
"105100",2020-01-05,36.2,23,"66.1","0"
"105100",2020-01-06,34.8,22.2,"69.4","0"
"105100",2020-01-07,34.2,23,"65.1","0"
"105100",2020-01-08,34.2,22.8,"65.2","0"
"105100",2020-01-09,35.4,21.4,"67.8","0"
"105100",2020-01-10,33.4,23,"73.3","0"
"105100",2020-01-11,34.2,22.8,"70.8","0"
"105100",2020-01-12,35.8,21.2,"66.4","0"
"105100",2020-01-13,35.2,21,"63.8","0"
"105100",2020-01-14,35,21.8,"66","0"
"105100",2020-01-15,36,24.6,"62.1","0"
"105100",2020-01-16,35.8,23.6,"65.4","0"
"105100",2020-01-17,36.2,21.8,"64.4","0"
"105100",2020-01-18,35.4,22.6,"64.6","0"
"105100",2020-01-19,34.2,23.6,"64.4","0"
"105100",2020-01-20,37,22.6,"69.6","0"
"105100",2020-01-21,35,24.8,"74.3","0"
"105100",2020-01-22,32.8,23.4,"68.9","0"
"105100",2020-01-23,34.2,24.8,"67","0"
"105100",2020-01-24,38,25.8,"66.2","0"
"105100",2020-01-25,36.4,25.6,"70.2","0"
"105100",2020-01-26,35,24.8,"67.2","0"
"105100",2020-01-27,37.2,23.8,"67.2","0"
"105100",2020-01-28,37,23,"64.6","0"
"105100",2020-01-29,37.2,22.8,"65.1","0"
"105100",2020-01-30,37,23,"65.2","0"
"105100",2020-01-31,36,24.4,"66.8","0"
"105100",2020-02-01,35,24.2,"69.9","0"
