Country Code;Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ARG;Argentina;20481779;20817266;21153052;21488912;21824425;22159650;22494035;22828869;23168267;23517611;23880561;24259561;24653175;25056478;25462302;25865776;26264681;26661398;27061047;27471036;27896528;28338515;28794548;29262047;29737093;30216279;30698964;31184415;31668949;32148134;32618651;33079000;33529326;33970111;34402672;34828170;35246374;35657429;36063459;36467218;36870787;37275652;37681749;38087868;38491972;38892931;39289878;39684295;40080160;40482788;40788453;41261490;41733271;42202935;42669500;43131966;43590368;44044811;44494502
BOL;Bolivia;3656955;3728964;3802990;3879192;3957757;4038872;4122517;4208676;4297517;4389246;4484004;4581740;4682390;4785923;4892293;5001419;5113456;5228252;5344939;5462419;5579935;5697096;5814345;5932810;6054123;6179460;6309130;6442831;6580312;6721115;6864842;7011453;7160920;7312850;7466793;7622338;7779267;7937458;8096761;8257066;8418264;8580235;8742814;8905823;9069039;9232306;9395446;9558439;9721454;9884781;10048590;10212954;10377676;10542376;10706517;10869730;11031813;11192854;11353142
BRA;Brazil;72179226;74311343;76514328;78772657;81064571;83373530;85696505;88035814;90387079;92746614;95113265;97482920;99859383;102259497;104706198;107216205;109790938;112425392;115121153;117878411;120694009;123570327;126498314;129448819;132383568;135274080;138108912;140891602;143627503;146328304;149003223;151648011;154259380;156849078;159432716;162019896;164614688;167209040;169785250;172318675;174790340;177196054;179537520;181809246;184006481;186127103;188167356;190130443;192030362;193886508;195713635;197514534;199287296;201035903;202763735;204471769;206163058;207833831;209469333
CHL;Chile;8132990;8303811;8476897;8650387;8821858;8989621;9152844;9312095;9468845;9625312;9783134;9942727;10103674;10265829;10428798;10592307;10756878;10922779;11089165;11254877;11419348;11582014;11743911;11907960;12078135;12257236;12445823;12642924;12847708;13058758;13274623;13495258;13719819;13944937;14166340;14380866;14587370;14786220;14977733;15162800;15342353;15516113;15684409;15849652;16014971;16182721;16354504;16530195;16708258;16886186;17062536;17233576;17400347;17571507;17758959;17969353;18209068;18470439;18729160
COL;Colombia;16057724;16567811;17092918;17629979;18175185;18725245;19279740;19837510;20393699;20942456;21480065;22003980;22516425;23024517;23538386;24065507;24608113;25164545;25733673;26312994;26900506;27496617;28101819;28714190;29331238;29951201;30572478;31195413;31822525;32457499;33102575;33758337;34422569;35091275;35758979;36421438;37076387;37723800;38364309;38999471;39629968;40255967;40875360;41483869;42075955;42647723;43200897;43737516;44254975;44750054;45222700;45663099;46076848;46497267;46969209;47520667;48171392;48901066;49648685
CRI;Costa Rica;1330782;1381183;1433335;1486553;1539941;1592841;1645083;1696732;1747694;1797893;1847394;1896077;1944169;1992514;2042241;2094188;2148677;2205615;2264946;2326464;2389977;2455588;2523354;2593020;2664223;2736712;2810242;2884851;2960929;3039013;3119433;3202085;3286520;3372298;3458834;3545534;3632362;3718949;3803887;3885430;3962372;4034074;4100925;4164053;4225155;4285502;4345412;4404628;4463125;4520740;4577378;4633086;4688000;4742107;4795396;4847804;4899345;4949954;4999441
DOM;Dominican Republic;3294224;3406280;3521018;3638109;3757132;3877765;3999796;4123092;4247558;4373124;4499720;4627210;4755459;4884461;5014189;5144637;5275770;5407500;5539590;5671797;5803927;5935909;6067770;6199661;6331764;6464229;6596962;6729933;6863441;6997888;7133494;7270409;7408342;7546463;7683707;7819247;7952763;8084407;8214426;8343283;8471321;8598601;8724975;8850317;8974444;9097257;9218686;9338861;9458075;9576737;9695121;9813210;9930911;10048224;10165178;10281680;10397743;10513131;10627165
ECU;Ecuador;4543666;4674172;4809201;4948986;5093854;5243977;5399422;5560012;5725459;5895367;6069376;6247418;6429379;6614843;6803280;6994334;7187787;7383724;7582353;7784072;7989186;8197652;8409397;8624594;8843462;9066109;9292474;9522360;9755579;9991870;10230934;10472475;10716129;10961466;11208001;11455204;11703174;11951452;12198449;12442115;12681123;12914667;13143465;13369678;13596388;13825847;14059384;14296557;14535739;14774424;15011117;15243883;15474102;15707474;15951838;16212020;16491115;16785361;17084357
SLV;El Salvador;2766324;2846600;2931192;3019224;3109563;3201313;3293952;3387383;3481624;3576838;3673068;3770059;3867309;3964270;4060260;4154692;4247502;4338458;4426675;4511129;4591134;4666364;4737257;4804935;4871035;4936807;5002336;5067537;5133274;5200602;5270079;5342198;5416323;5490477;5561919;5628600;5689938;5746284;5797765;5844846;5887936;5927006;5962136;5994077;6023797;6052123;6079399;6105810;6131764;6157686;6183875;6210568;6237923;6266070;6295128;6325124;6356143;6388122;6420744
HND;Honduras;2038632;2096409;2155647;2216704;2280048;2346015;2414803;2486415;2560727;2637513;2716654;2798123;2882113;2968989;3059239;3153253;3251145;3352825;3458095;3566654;3678279;3792919;3910640;4031325;4154860;4281161;4410269;4542214;4677024;4814702;4955303;5098591;5244678;5394412;5548960;5709014;5874809;6045699;6220406;6397151;6574509;6751912;6929265;7106319;7282953;7458985;7634298;7808518;7980955;8150775;8317470;8480671;8640691;8798521;8955589;9112916;9270795;9429013;9587522
