id ,cod_dep,departamento,cod_mun,municipio,banco_de_sangre,c_caracteristicas_part.,c_s_ambulatorio,c_s_con_internacion,c_s_integral,centro_salud             ,policlinico,policonsultorio,puesto_de_ salud          ,hospital_de_segundo_ nivel ,hospital_general         ,instituto_especializado  ,total_establecimientos_de_salud
1,1,CHUQUISACA,10101,SUCRE,1,,1,,,109,,,10,9,2,5,137
2,1,CHUQUISACA,10102,YOTALA,,,,,,1,,,9,,,,10
3,1,CHUQUISACA,10103,POROMA,,,1,,,8,,,12,,,,21
4,1,CHUQUISACA,10201,AZURDUY,,,,,,5,,,6,,,,11
5,1,CHUQUISACA,10202,TARVITA,,,,,,10,,,2,,,,12
6,1,CHUQUISACA,10301,ZUDAÑEZ,,,,,,2,,,4,,,,6
7,1,CHUQUISACA,10302,PRESTO,,,,,,4,,,4,,,,8
8,1,CHUQUISACA,10303,MOJOCOYA,,,,,,5,,,3,,,,8
9,1,CHUQUISACA,10304,ICLA,,,,,,7,,,4,,,,11
10,1,CHUQUISACA,10401,PADILLA,,,,,,3,,,4,1,,,8
11,1,CHUQUISACA,10402,TOMINA,,,,,,3,,,7,,,,10
12,1,CHUQUISACA,10403,SOPACHUY,,,,,,3,,,2,,,,5
13,1,CHUQUISACA,10404,ALCALA,,,,,,2,,,1,,,,3
14,1,CHUQUISACA,10405,EL VILLAR,,,,,,2,,,4,,,,6
15,1,CHUQUISACA,10501,MONTEAGUDO,,,,,,7,,,10,1,,,18
16,1,CHUQUISACA,10502,HUACARETA,,,,,,5,,,9,,,,14
17,1,CHUQUISACA,10601,TARABUCO,,,,,,7,,,4,,,,11
18,1,CHUQUISACA,10602,YAMPARAEZ,,,,,,2,,,7,,,,9
19,1,CHUQUISACA,10701,CAMARGO,,,,,,3,,,6,1,,,10
20,1,CHUQUISACA,10702,SAN LUCAS,,,,,,9,,,19,,,,28
21,1,CHUQUISACA,10703,INCAHUASI,,,,,,2,,,6,,,,8
22,1,CHUQUISACA,10704,VILLA CHARCAS,,,,,,2,,,6,,,,8
23,1,CHUQUISACA,10801,VILLA SERRANO,,,,,,5,,,3,,,,8
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),,,,,,1,,,3,,,,4
25,1,CHUQUISACA,10902,CULPINA,,,,,,3,,,10,,,,13
26,1,CHUQUISACA,10903,LAS CARRERAS,,,,,,1,,,5,,,,6
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),,,,,,3,,,9,,,,12
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),,,,,,2,,,3,,,,5
29,1,CHUQUISACA,11003,MACHARETI,,,,,,4,,,7,,,,11
30,2,LA PAZ,20101,LA PAZ,,3,76,2,10,,10,9,1,9,5,12,137
31,2,LA PAZ,20102,PALCA,,,4,3,,,,,2,,,,9
32,2,LA PAZ,20103,MECAPACA,,,7,,,,,,,,,,7
33,2,LA PAZ,20104,ACHOCALLA,,,1,2,,,,,,,,,3
34,2,LA PAZ,20105,EL ALTO,,1,67,,14,,7,,,6,2,,97
35,2,LA PAZ,20201,ACHACACHI,,,14,4,,,,,,1,,,19
36,2,LA PAZ,20202,ANCORAIMES,,,4,2,,,,,1,,,,7
37,2,LA PAZ,20203,HUARINA,,,,1,,,,,,,,,1
38,2,LA PAZ,20204,SANTIAGO DE HUATA,,,1,1,,,,,,,,,2
39,2,LA PAZ,20205,HUATAJATA,,,1,2,,,,,,,,,3
40,2,LA PAZ,20206,CHUA COCANI,,,,2,,,,,,,,,2
41,2,LA PAZ,20301,CORO CORO,,,4,1,1,,,,3,,,,9
42,2,LA PAZ,20302,CAQUIAVIRI,,,4,2,,,,,3,,,,9
43,2,LA PAZ,20303,CALACOTO,,,3,1,,,,,3,,,,7
44,2,LA PAZ,20304,COMANCHE,,,2,1,,,,,,,,,3
45,2,LA PAZ,20305,CHARAÑA,,,1,1,,,,,1,,,,3
46,2,LA PAZ,20306,WALDO BALLIVIAN,,,,1,,,,,,,,,1
47,2,LA PAZ,20307,NAZACARA DE PACAJES,,,1,,,,,,,,,,1
48,2,LA PAZ,20308,SANTIAGO DE CALLAPA,,,1,1,,,,,3,,,,5
49,2,LA PAZ,20401,PUERTO ACOSTA,,,3,,1,,,,1,,,,5
50,2,LA PAZ,20402,MOCOMOCO,,,3,3,,,,,4,,,,10
51,2,LA PAZ,20403,PUERTO CARABUCO,,,4,3,,,,,5,,,,12
52,2,LA PAZ,20404,HUMANATA,,,,1,,,,,1,,,,2
53,2,LA PAZ,20405,ESCOMA,,,1,,,,,,,1,,,2
54,2,LA PAZ,20501,CHUMA,,,4,3,,,,,,,,,7
55,2,LA PAZ,20502,AYATA,,,1,2,1,,,,1,,,,5
56,2,LA PAZ,20503,AUCAPATA,,,3,1,,,,,2,,,,6
57,2,LA PAZ,20601,SORATA,,,5,1,1,,,,3,,,,10
58,2,LA PAZ,20602,GUANAY,,,1,1,1,,,,3,,,,6
59,2,LA PAZ,20603,TACACOMA,,,1,2,,,,,1,,,,4
60,2,LA PAZ,20604,QUIABAYA,,,,1,,,,,,,,,1
61,2,LA PAZ,20605,COMBAYA,,,1,1,,,,,2,,,,4
62,2,LA PAZ,20606,TIPUANI,,,,3,1,,,,,,,,4
63,2,LA PAZ,20607,MAPIRI,,,1,2,,,,,1,,,,4
64,2,LA PAZ,20608,TEOPONTE,,,2,2,1,,,,2,,,,7
65,2,LA PAZ,20701,APOLO,,,5,1,1,,,,,,,,7
66,2,LA PAZ,20702,PELECHUCO,,,3,2,,,,,1,,,,6
