"codreg";"subcreg";"coddist";"codserv";"tiposerv";"nomserv";"dire";"dccion";"telef";"email";"area";"unrocons";"unroficha";"activo";"unrolabo";"codigoesta";"observ";"desdemes";"desdeano";"latitud";"longitud";"receta"
"16";".";"004";"339";"USF";"USF- UHELASVHO";"DR. JOSE ANTONIO ALVARES";"COMUNIDADE INDIGENA UJELHAVOS";"0992829929";"usfujelhavos16@gmail.com";"1";"18794";"0";"1";"0";"16004339";"S. 108886/17
Expte. N° 378/2013      ";"4";"2013";"-22.3617000";"-60.0493722";"2"
"14";".";"004";"371";"USF";"USF- VILLA YGATIMI 2";"DRA LIZ DELEON";"";"0983774172";"";"1";"36180";"1";"1";"0";"14004371";"SIMESE Nº 20094/2016
EXPTE. N° 107/2012";"9";"2012";"-24.1330070";"-55.6459490";"2"
"08";".";"001";"325";"USF";"USF- UNIVERSITARIO - ESTANDAR";"DRA. UBALDINA AREVALO";"";"217212977";"";"1";"33820";"0";"1";"0";"08001325";"          S.1595/18          
ANTERIORMENTE SE LLAMA UNIVERSITARIO-ISLA TOBATI-CASA PARTICULAR      ";"9";"2010";"-26.6676389";"-57.1271389";"2"
"15";".";"007";"344";"PS";"P.S. 10 LEGUAS";"";"";"N/T";"";"1";"1394";"0";"1";"0";"15007344";"                ";"1";"2010";"-23.7048000";"-60.9694000";"2"
"11";".";"003";"372";"USF";"USF- MADRE MAZZARELLO";"TATIANA ROMINA AYALA MULLER";"";NULL;"";"1";"21669";"1870";"1";"0";"11003372";"          EXPTE. N° 107/2012      ";"9";"2012";"-25.3422970";"-57.5702230";"2"
"11";".";"016";"548";"CE";"C. REHABILITACION BASADA EN LA COMUNIDAD";"";"";"";"";"1";"11214";"0";"1";"0";"11016548";"S 108335/18";"8";"2018";NULL;NULL;"2"
"01";".";"001";"349";"USFE";"USF-JHUGUA TADEO - ESTÁNDAR";"";"A";"N/T";"";"1";"36159";"1";"1";"0";"01001349";"          EXPTE. N° 107/2012      ";"9";"2012";"-23.2092500";"-57.3631389";"2"
"02";"SUR";"022";"321";"USFE";"USF - JHUGUA REY -ESTANDAR";"";"";"";"";"1";"26888";"0";"1";"0";"02022321";"          SIMESE N° 7382/2014      ";"3";"2014";NULL;NULL;"2"
"05";".";"011";"379";"USF";"USF-PINDO VIRGEN DEL ROSARIO";"DR. NÉSTOR F. ROMERO DEL PUERTO";"";"0984-936/519";"";"1";"20229";"0";"1";"0";"05011379";"Expte. N° 406/2011";"11";"2011";"-25.0653860";"-55.9242790";"2"
"04";".";"015";"359";"PS";"P.S. POTRERO BENEGAS";"";"";"";"";"1";"17546";"0";"1";"0";"04016359";"                ";"1";"2000";NULL;NULL;"2"
"11";".";"003";"329";"USF";"USF- VILLA APUA - SAN MIGUEL";"GABRIELA A. ZARDAN PACHECO";"";NULL;"";"1";"19502";"1169";"1";"0";"11003329";"";"1";"2011";"-25.3426860";"-57.5621830";"2"
"02";"NOR";"003";"509";"USF";"USF. SAN FRANCISCO - ESTANDAR";"LIC. ESPERANZA RIOS";"";"";"";"1";"8187";"0";"1";"0";"02003509";"          SE ELIMINA EL NOMBRE DE ASENTAMIENTO, S/28-06-11      ";"1";"2000";"-24.1813889";"-56.7834167";"2"
"16";".";"004";"318";"PS";"P.S. AMISTAD";"";".";"0973 605618";".";"1";"94505";"0";"1";"1642";"16004318";"                ";"1";"2009";"-21.4538889";"-61.3319444";"2"
"16";".";"002";"602";"PS";"LAGUNA NEGRA-MACHARETTY-CANAAN";"";"";"AUX.  DALVA VERA 0985-512464";"";"1";"5525";"0";"1";"0";"16002602";"";"1";"2000";"-21.4633333";"-61.5375000";"2"
"10";".";"001";"386";"CSS";"CSS - CLINICA DE DESINTOXICACION ";"";"";"";"";"1";"7401";"0";"1";"0";"10001386";"SIMESE N 140937/2016      ";"10";"2016";NULL;NULL;"2"
"10";".";"012";"139";"USF";"USF-SAN CRISTOBAL";"";"";"0983-540926 LIC. LIBRADA IRALA";"";"1";"38839";"17";"1";"0";"10012139";"";"7";"2011";"-25.8921667";"-55.5111111";"2"
"11";".";"018";"390";"CE";"CENTRO DE ESPECIALIDADES DE YPANE";"Dr. Manuel Castillo";"Acc. Sur e/ Urquiza";"0275 232326";"";"1";"61007";"8918";"1";"29054";"11018390";"          Expte. 16/2012
SIMESE 1381/2013
Se Re-activo el codigo 390 con nota de pedido Simese Nª39345      ";"7";"2012";NULL;NULL;"2"
"02";"NOR";"018";"331";"USF";"USF- PEDRO GIMENEZ - ESTÁNDAR";"DR JOSE MERCADO";".";"";".";"1";"19305";"0";"1";"0";"02018331";"                ";"1";"2010";"-23.9355833";"-56.3160833";"2"
"15";".";"004";"313";"USF";"USF- RIO VERDE KM 325";"GLORIA MABEL CASTILLO";"RUTA TRANSCHACO N°9, KM. 325";"0985446075";"glo_kstillo@hotmail.com";"1";"7363";"0";"1";"0";"15004313";"solicitud enviada por correo al Lic. Espinoza (07/04/17)      ";"4";"2017";NULL;NULL;"2"
"05";".";"007";"388";"USF";"USF- SAN MIGUEL TACURUPYTA";"DR. JULIO CESAR PÁREDES";"";"0981-508/583";"";"1";"27377";"806";"1";"0";"05007388";"Expte. N° 406/2011";"11";"2011";"-25.5961944";"-56.1076944";"2"
"18";".";"030";"336";"USF";"USF- YUKYTY";"";"";"N/T";"";"1";"35255";"179";"1";"0";"18030336";"TALLER 20/12/2012";"12";"2012";"-25.3373333";"-57.6393889";"2"
"01";".";"008";"304";"PS";"P.S. PASO TUYA";"";"";"";"";"1";"15412";"0";"1";"0";"01008304";"          Expte. N° 665/2013      ";"6";"2013";NULL;NULL;"2"
"14";".";"013";"350";"USF";"USF- YBY PYTA I";"";"";"";"";"1";"21753";"0";"1";"0";"14013350";"SIMESE Nº 93361/2015";"8";"2015";NULL;NULL;"2"
"12";".";"001";"214";"USF";"USF- SAN JOSE";"DRA. ROSSY AMARILLA";"";"";"";"1";"16803";"1";"1";"0";"12001214";"          TALLER DICIEMBRE/2011      ";"5";"2012";"-26.8505910";"-58.2884520";"2"
"18";".";"030";"217";"CE";"CONSULTORIO CENTRAL ASUNCIÓN";NULL;"";NULL;NULL;"1";"72568";"0";"1";"0";"18030217";NULL;"1";"2000";NULL;NULL;"2"
"07";".";"001";"364";"USF";"USF- BO SAN PEDRO";"";"";"N/T";"";"1";"59227";"1";"1";"0";"07001364";"";"1";"2000";"-27.3129722";"-55.8685278";"2"
"10";".";"006";"311";"USF";"USF - ITAIPYTE";"";"";"N/T";"";"1";"67069";"3";"1";"1";"10006311";"";"9";"2010";"-25.0603333";"-54.9791667";"2"
"05";".";"002";"211";"PS";"P.S. CONSTITUCION";"";"";"";"";"1";"17246";"0";"1";"0";"05002211";"          S. 75688/2017      ";"6";"2017";NULL;NULL;"2"
"03";".";"016";"302";"USF";"USF. HERIBERTA MATIAUDA - ESTÁNDAR ";"";"";"N/T";"";"1";"9694";"1";"1";"0";"03016302";"                ";"1";"2000";"-25.2386111";"-57.3299167";"2"
"09";".";"013";"221";"CS";"C.S. SAPUCAI";"CHRISTIAN A ROJAS C ";"";"0539-263342";"";"1";"24955";"184";"1";"1";"09013221";"                ";"1";"2000";"-25.6664167";"-56.9545000";"2"
"13";".";"001";"320";"USF";"USF- BO. GUARANI";"";"";"";"";"1";"25990";"2";"1";"0";"13001320";"EXPTE. N° 107/2012
SIMESE 31966/2014 // SIMESE 3013/2015 REACTIVACION";"9";"2012";NULL;NULL;"2"
"10";".";"006";"325";"USF";"USF - SANTA LUCÍA";"";"";"0984-318005 LIC. AGUSTIN LOPEZ";"";"1";"60738";"115";"1";"0";"10006325";"";"9";"2010";"-24.5736667";"-55.0505000";"2"
"14";".";"009";"301";"USF";"USF- LA PALOMA";"";"";"(0981) 338396";"";"1";"43209";"0";"1";"0";"14009301";"";"9";"2010";"-24.1308889";"-54.6213333";"2"
"16";".";"002";"201";"USF";"USF- LA PATRIA";"DR. MILCIADES BRITOZ SILVERO";"CASCO URBANO, LA PATRIA";"0971273071";"usflapatria16@gmail.com";"1";"22484";"0";"1";"0";"16002201";"S. 108886/17      ";"1";"2010";"-21.3480555";"-61.5233333";"2"
"11";".";"014";"540";"USF";"USF- MITAI";"VICTOR RANULFO TINTEL MENDIETA";".";NULL;".";"1";"13098";"16";"1";"0";"11014534";"";"1";"2010";"-25.3831667";"-57.5042778";"2"
"11";".";"003";"224";"CE";"C.E. JOSÉ ALFONSO GODOY";"";"";"";"";"1";"31724";"122";"1";"0";"11003224";"          SIMESE N° 1507/2013      ";"1";"2000";"-25.3391556";"-57.5795694";"2"
"03";".";"010";"310";"USF";"USF. JUAN DE MENA - ESTÁNDAR ";"DR. PABLO LINARES - APS";"FELICIANO M. C/ LUIS A. DE HERRERA";"0516 255517 - VECINO";"";"1";"56366";"2";"1";"0";"03010310";"                ";"1";"2000";"-24.9548333";"-56.7606667";"2"
"04";".";"008";"603";"USF";"USF LOMA JHOVY - ESTANDAR";"";"";"N/T";"";"1";"19436";"0";"1";"0";"04008603";"          SIMESE 92519/2015- RECONVERSION A PS
SIMESE 54586/2015- RECONVERSION A USF      ";"6";"2015";"-25.8499167";"-56.5463889";"2"
"17";".";"001";"313";"USFE";"USFE. TORO PAMPA";"DR. JAVIER VALIETNE";"BARRIO 2000";"0971662654";"medjrvc@hotmail.com";"1";"10408";"0";"1";"0";"17001313";"          S. 108886/17
S. 114774/16- re-activacion
SIMESE 70887/16 - inactivacion
Expte. N° 111/2012      ";"3";"2012";"-21.0236111";"-58.4857222";"2"
"10";".";"001";"112";"USF";"USF-DON BOSCO";"";"";"";"";"1";"45348";"0";"1";"26";"10001112";"";"7";"2011";NULL;NULL;"2"
"03";".";"014";"313";"PS";"P.S. NARANJO";"";"";"N/T";"";"1";"5793";"0";"1";"0";"03014313";"                ";"1";"2000";"-25.5244167";"-57.0658611";"2"
"06";".";"001";"363";"PS";"P.S. ÑUPYAHUMI";"";"A";"0984 219616 MARIA TERESA GAUTO";"";"1";"3640";"0";"1";"0";"06001363";"                ";"1";"2000";"-26.1335000";"-56.3181667";"2"
"05";".";"001";"303";"PS";"P.S. ESPINILLO";"LIC. CORINA VERA MONTIEL";"";"0970-407/515";"";"1";"21981";"0";"1";"0";"05001303";"                ";"1";"2000";"-25.4717778";"-56.5046111";"2"
"07";".";"017";"205";"CS";"C.S. OBLIGADO";"Dr. Joel Paredes";"";"N/T";"";"1";"150632";"0";"1";"764";"07017205";"                ";"1";"2000";"-27.2170900";"-55.6589400";"2"
"11";".";"006";"305";"USF";"USF- PATIÑO";"MELISSA VIVIANA ROMERO GONZALE";"";NULL;"";"1";"26559";"2936";"1";"0";"11006305";"";"1";"2000";"-25.3527080";"-57.3366460";"2"
"02";"NOR";"001";"532";"USF";"USF.  SAN PEDRO POTY - ESTANDAR";"DRA. ZULLI ACOSTA";"";"";"";"1";"29432";"5";"1";"0";"02001532";"          Expte. N° 476/2013      ";"4";"2013";"-23.9091300";"-56.9558580";"2"
"18";".";"030";"203";"HMI";"HMI- SANTISIMA TRINIDAD";"DR. RICARDO OVIEDO";"Avda. Santisima Trinidad c/ Itapua";"021290165";"";"1";"169450";"1827";"1";"0";"18030203";"";"1";"2000";"-25.2609850";"-57.5763080";"2"
"16";".";"004";"416";"USF";"USF-FILADELFIA";"DRA. LUZ BELLA QUIÑONEZ";"CALLE 7, E/ROA BASTOS Y PALO SANTO";"0981922190";"usffiladelfia16@gmail.com";"1";"25181";"0";"1";"10";"16004416";"S. 108886/17
Expte. 6/2012. ADM. LIC. AVALOS      ";"8";"2012";"-22.3627222";"-60.0180000";"2"
"05";".";"016";"383";"PS";"CAACUPE MI";"LIC. ANGELA CÉSPEDES";"";"0973402975";"";"1";"10093";"1";"1";"0";"05016383";"Expte. N° 406/2011";"11";"2011";"-25.3426944";"-54.9725000";"2"
"10";".";"001";"115";"USF";"USF-BELO HORIZONTE";"";"";"N/T";"";"1";"32401";"628";"1";"0";"10001115";"";"7";"2011";"-25.4766111";"-54.7123611";"2"
"11";".";"006";"530";"USF";"USF- POTRERO GUAZU";"LOURDES CONCEPCION BAEZ BRITEZ";"";NULL;"";"1";"27352";"2108";"1";"0";"11006530";"";"1";"2000";"-25.4382830";"-57.3210810";"2"
