"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"113029",2019-11-01,21,10,"80.6","0"
"113029",2019-11-02,26.6,11.8,"68.3","3.4"
"113029",2019-11-03,23.2,11,"71","0.2"
"113029",2019-11-04,25.8,12.2,"69.8","1.8"
"113029",2019-11-05,22.4,12.4,"79.1","11.6"
"113029",2019-11-06,22,10.2,"82.1","2.7"
"113029",2019-11-07,20.4,11.8,"88","0"
"113029",2019-11-08,23.4,11.2,"82.6","7.1"
"113029",2019-11-09,24.2,11,"83.7","18.3"
"113029",2019-11-10,21.4,11.4,"87.3","8.6"
"113029",2019-11-11,17.2,11,"91.9","1.5"
"113029",2019-11-12,21.8,10,"84","0"
"113029",2019-11-13,25.8,11.2,"77.2","2"
"113029",2019-11-14,25.6,12.2,"84.4","22"
"113029",2019-11-15,19,11,"89.2","8.8"
"113029",2019-11-16,23.2,10,"84.1","9.7"
"113029",2019-11-17,23.6,11.4,"76.4","9.5"
"113029",2019-11-18,23.8,11.2,"82.9","5"
"113029",2019-11-19,24.4,11.2,"86.6","11.7"
"113029",2019-11-20,23.6,11,"84.5","10"
"113029",2019-11-21,24.6,11.2,"84.2","8.4"
"113029",2019-11-22,25,9.8,"75.2","0"
"113029",2019-11-23,23.8,11.2,"78","6.7"
"113029",2019-11-24,21,11,"86.4","1.8"
"113029",2019-11-25,23.2,10.6,"75.5","0.2"
"113029",2019-11-26,26.8,9.2,"72.1","0"
"113029",2019-11-27,25.6,11.8,"80.3","0"
"113029",2019-11-28,24,12,"85.7","0"
"113029",2019-11-29,26.4,11.4,"74.5","0"
"113029",2019-11-30,26,11.2,"74.8","0"
"113029",2019-12-01,25.8,11.2,"75.9","5.6"
"113029",2019-12-02,23.8,12.2,"90.8","23.9"
"113029",2019-12-03,23.4,10.8,"87.2","0"
"113029",2019-12-04,20.4,11.2,"90.2","1.8"
"113029",2019-12-05,22.2,12.4,"87","3.2"
"113029",2019-12-06,23,12.2,"90","27.3"
"113029",2019-12-07,23.8,11,"79.3","0"
"113029",2019-12-08,22.8,11.2,"87.1","0"
"113029",2019-12-09,23.8,11.4,"82.4","8.2"
"113029",2019-12-10,25.6,10.4,"82.7","16.6"
"113029",2019-12-11,21.6,10,"86.6","0.5"
"113029",2019-12-12,25.4,10.8,"83.1","8.5"
"113029",2019-12-13,22.8,10,"82.9","6"
"113029",2019-12-14,21.2,11.4,"83","2.9"
"113029",2019-12-15,23.4,11.4,"79","7.1"
"113029",2019-12-16,23.2,10.6,"76","0.8"
"113029",2019-12-17,25,9.8,"78","1"
"113029",2019-12-18,21,12,"88.5","3.7"
"113029",2019-12-19,21.6,11.4,"90.4","4.3"
"113029",2019-12-20,23.8,11.8,"86.7","1.5"
"113029",2019-12-21,20.8,11.2,"89","0.5"
"113029",2019-12-22,24.2,11,"83","12.8"
"113029",2019-12-23,23.8,10.2,"88.2","9.2"
"113029",2019-12-24,19.4,12.4,"94.5","0.3"
"113029",2019-12-25,23.8,12.4,"89.9","7.9"
"113029",2019-12-26,22.4,12.2,"84.7","5.8"
"113029",2019-12-27,24,11.8,"87.3","0"
"113029",2019-12-28,22.6,12.6,"86.1","0"
"113029",2019-12-29,25.6,10,"83","0.1"
"113029",2019-12-30,22.6,11.8,"85.9","1.1"
"113029",2019-12-31,22.4,12.2,"90.2","0"
"113029",2020-01-01,23.8,12.2,"79.5","3.5"
"113029",2020-01-02,21.2,12,"87.8","0.2"
"113029",2020-01-03,24.6,12.4,"88.4","4.7"
"113029",2020-01-04,24.6,12.2,"88.7","13.8"
"113029",2020-01-05,20.8,10.2,"90","0.1"
"113029",2020-01-06,26,11.2,"76","0"
"113029",2020-01-07,25,12,"74.8","0"
"113029",2020-01-08,25.8,11.8,"77.7","0"
"113029",2020-01-09,20,11.8,"88.8","0"
"113029",2020-01-10,26.4,11,"72.1","0"
"113029",2020-01-11,25,12.4,"81.8","0.4"
"113029",2020-01-12,25.4,12,"79.8","0"
"113029",2020-01-13,25.4,12.2,"82.1","1"
"113029",2020-01-14,22.8,12.2,"81.8","2.6"
"113029",2020-01-15,20,11.8,"90.4","4.8"
