Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
;Brazil;2020-03-18T19:14:29;372;3;2;-14.235;-51.9253
;Chile;2020-03-18T13:33:12;238;0;0;-35.6751;-71.543
;Ecuador;2020-03-18T03:13:19;111;2;0;-1.8312;-78.1834
;Colombia;2020-03-18T14:53:05;93;0;1;4.5709;-74.2973
;Mexico;2020-03-18T10:53:02;93;0;4;23.6345;-102.5528
;Panama;2020-03-18T10:53:02;86;1;0;8.538;-80.7821
;Argentina;2020-03-18T03:33:03;79;2;3;-38.4161;-63.6167
;Costa Rica;2020-03-18T03:33:03;50;0;0;9.7489;-83.7534
;Uruguay;2020-03-18T11:33:04;50;0;0;-32.5228;-55.7658
;Venezuela;2020-03-18T11:33:04;36;0;0;6.4238;-66.5897
;Dominican Republic;2020-03-17T08:13:22;21;1;0;18.7357;-70.1627
;Bolivia;2020-03-18T11:53:04;12;0;0;-16.2902;-63.5887
;Paraguay;2020-03-18T11:53:04;11;0;0;-23.4425;-58.4438
;Honduras;2020-03-18T11:53:04;9;0;0;15.2;-86.2419
Lima;Peru;2020-03-18T16:59:34;111;0;1;;
Tumbes;Peru;2020-03-18T16:59:34;0;0;0;;
Piura;Peru;2020-03-18T16:59:34;2;0;0;;
Lambayeque;Peru;2020-03-18T16:59:34;6;0;0;;
La Libertad;Peru;2020-03-18T16:59:34;2;0;0;;
Cajamarca;Peru;2020-03-18T16:59:34;0;0;0;;
Amazonas;Peru;2020-03-18T16:59:34;0;0;0;;
Ancash ;Peru;2020-03-18T16:59:34;2;0;0;;
San Martin;Peru;2020-03-18T16:59:34;0;0;0;;
Huanuco;Peru;2020-03-18T16:59:34;2;0;0;;
Loreto;Peru;2020-03-18T16:59:34;10;0;0;;
Ucayali;Peru;2020-03-18T16:59:34;0;0;0;;
Pasco;Peru;2020-03-18T16:59:34;0;0;0;;
Junin;Peru;2020-03-18T16:59:34;0;0;0;;
Ica;Peru;2020-03-18T16:59:34;1;0;0;;
Huancavelica;Peru;2020-03-18T16:59:34;0;0;0;;
Ayacucho;Peru;2020-03-18T16:59:34;0;0;0;;
Cusco;Peru;2020-03-18T16:59:34;1;0;0;;
Madre de dios;Peru;2020-03-18T16:59:34;1;0;0;;
Apurimac;Peru;2020-03-18T16:59:34;0;0;0;;
Arequipa;Peru;2020-03-18T16:59:34;2;0;0;;
Puno;Peru;2020-03-18T16:59:34;0;0;0;;
Moquegua;Peru;2020-03-18T16:59:34;0;0;0;;
Tacna;Peru;2020-03-18T16:59:34;0;0;0;;
Callao;Peru;2020-03-18T16:59:34;5;0;0;;
