ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-19,276288,5041,0
AR-K,Argentina,Catamarca,2020-05-19,1606,0,0
AR-H,Argentina,Chaco,2020-05-19,32360,625,0
AR-U,Argentina,Chubut,2020-05-19,2165,91,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-19,145681,2741,0
AR-X,Argentina,Cordoba,2020-05-19,81559,314,0
AR-W,Argentina,Corrientes,2020-05-19,13155,14,0
AR-E,Argentina,Entre Rios,2020-05-19,6743,327,0
AR-P,Argentina,Formosa,2020-05-19,3692,0,0
AR-Y,Argentina,Jujuy,2020-05-19,10552,0,0
AR-L,Argentina,La Pampa,2020-05-19,1373,75,0
AR-F,Argentina,La Rioja,2020-05-19,6932,101,0
AR-M,Argentina,Mendoza,2020-05-19,11306,247,0
AR-N,Argentina,Misiones,2020-05-19,5995,56,0
AR-Q,Argentina,Neuquen,2020-05-19,9825,71,0
AR-R,Argentina,Rio Negro,2020-05-19,15170,164,0
AR-A,Argentina,Salta,2020-05-19,8127,37,0
AR-J,Argentina,San Juan,2020-05-19,3436,0,0
AR-D,Argentina,San Luis,2020-05-19,2094,7,0
AR-Z,Argentina,Santa Cruz,2020-05-19,3019,7,0
AR-S,Argentina,Santa Fe,2020-05-19,50693,220,0
AR-G,Argentina,Santiago del Estero,2020-05-19,4587,36,0
AR-V,Argentina,Tierra del Fuego,2020-05-19,9186,37,0
AR-T,Argentina,Tucuman,2020-05-19,22445,63,0
