ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-19,299035,5476,0
AR-K,Argentina,Catamarca,2020-05-19,1768,0,0
AR-H,Argentina,Chaco,2020-05-19,35606,686,0
AR-U,Argentina,Chubut,2020-05-19,2328,101,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-19,158620,2969,0
AR-X,Argentina,Cordoba,2020-05-19,89215,338,0
AR-W,Argentina,Corrientes,2020-05-19,14377,16,0
AR-E,Argentina,Entre Rios,2020-05-19,7394,355,0
AR-P,Argentina,Formosa,2020-05-19,3938,0,0
AR-Y,Argentina,Jujuy,2020-05-19,11492,0,0
AR-L,Argentina,La Pampa,2020-05-19,1488,82,0
AR-F,Argentina,La Rioja,2020-05-19,7409,117,0
AR-M,Argentina,Mendoza,2020-05-19,12398,272,0
AR-N,Argentina,Misiones,2020-05-19,6422,63,0
AR-Q,Argentina,Neuquen,2020-05-19,10673,75,0
AR-R,Argentina,Rio Negro,2020-05-19,16452,177,0
AR-A,Argentina,Salta,2020-05-19,8837,42,0
AR-J,Argentina,San Juan,2020-05-19,3732,0,0
AR-D,Argentina,San Luis,2020-05-19,2306,8,0
AR-Z,Argentina,Santa Cruz,2020-05-19,3271,0,0
AR-S,Argentina,Santa Fe,2020-05-19,55035,237,0
AR-G,Argentina,Santiago del Estero,2020-05-19,5087,38,0
AR-V,Argentina,Tierra del Fuego,2020-05-19,9971,40,0
AR-T,Argentina,Tucuman,2020-05-19,24374,70,0
