ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-06-11,9091,245,
BR-AL,Brazil,Alagoas,2020-06-11,19200,681,
BR-AP,Brazil,Amapa,2020-06-11,15166,303,
BR-AM,Brazil,Amazonas,2020-06-11,53989,2400,
BR-BA,Brazil,Bahia,2020-06-11,33891,1013,
BR-CE,Brazil,Ceara,2020-06-11,73879,4663,
BR-DF,Brazil,Distrito Federal,2020-06-11,20507,274,
BR-ES,Brazil,Espiritu Santo,2020-06-11,24229,962,
BR-GO,Brazil,Goias,2020-06-11,7657,189,
BR-MA,Brazil,Maranhao,2020-06-11,55680,1360,
BR-MT,Brazil,Mato Grosso,2020-06-11,5092,160,
BR-MS,Brazil,Mato Grosso do Sul,2020-06-11,2853,25,
BR-MG,Brazil,Minas Gerais,2020-06-11,18448,431,
BR-PA,Brazil,Para,2020-06-11,64126,4030,
BR-PB,Brazil,Paraiba,2020-06-11,25370,570,
BR-PR,Brazil,Parana,2020-06-11,8457,280,
BR-PE,Brazil,Pernambuco,2020-06-11,42994,3633,
BR-PI,Brazil,Piaui,2020-06-11,8823,299,
BR-RJ,Brazil,Rio de Janeiro,2020-06-11,75775,7363,
BR-RN,Brazil,Rio Grande do Norte,2020-06-11,13234,496,
BR-RS,Brazil,Rio Grande do Sul,2020-06-11,14168,323,
BR-RO,Brazil,Rondonia,2020-06-11,10547,293,
BR-RR,Brazil,Roraima,2020-06-11,6594,188,
BR-SC,Brazil,Santa Catarina,2020-06-11,12953,186,
BR-SP,Brazil,Sao Paulo,2020-06-11,162520,10145,
BR-SE,Brazil,Sergipe,2020-06-11,11056,283,
BR-TO,Brazil,Tocantins,2020-06-11,6529,124,
