ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-08-29,2406,0,2130
CO-ANT,Colombia,Antioquia,2020-08-29,8452,119,2965
CO-ARA,Colombia,Arauca,2020-08-29,141,0,20
CO-ATL,Colombia,Atlantico,2020-08-29,31886,2155,13962
CO-DC,Colombia,Bogota,2020-08-29,45054,1266,18162
CO-BOL,Colombia,Bolivar,2020-08-29,11751,496,6928
CO-BOY,Colombia,Boyaca,2020-08-29,478,21,311
CO-CAL,Colombia,Caldas,2020-08-29,294,0,0
CO-CAQ,Colombia,Caqueta,2020-08-29,85,0,0
CO-CAS,Colombia,Casanare,2020-08-29,112,0,0
CO-CAU,Colombia,Cauca,2020-08-29,2410,157,1221
CO-CES,Colombia,Cesar,2020-08-29,1417,41,852
CO-COR,Colombia,Choco,2020-08-29,2124,96,1016
CO-CUN,Colombia,Cordoba,2020-08-29,1509,278,393
CO-CHO,Colombia,Cundinamarca,2020-08-29,3940,97,2064
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-08-29,415,0,320
CO-LAG,Colombia,La Guajira,2020-08-29,847,68,232
CO-MAG,Colombia,Magdalena,2020-08-29,2656,299,1115
CO-MET,Colombia,Meta,2020-08-29,1514,0,1120
CO-NAR,Colombia,Narino,2020-08-29,4418,160,2628
CO-NSA,Colombia,Norte de Santander,2020-08-29,1754,67,700
CO-PUT,Colombia,Putumayo,2020-08-29,49,0,0
CO-QUI,Colombia,Quindio,2020-08-29,193,0,146
CO-RIS,Colombia,Risaralda,2020-08-29,716,0,427
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-08-29,2376,223,521
CO-TOL,Colombia,Tolima,2020-08-29,1416,0,539
CO-VAC,Colombia,Valle del Cauca,2020-08-29,12250,476,5657
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
