ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
HN-AT,Atlántida,Honduras,2020-05-16,72,4,21
HN-CH,Choluteca,Honduras,2020-05-16,31,0,5
HN-CL,Colón,Honduras,2020-05-16,42,1,19
HN-CM,Comayagua,Honduras,2020-05-16,19,2,2
HN-CP,Copán,Honduras,2020-05-16,4,0,0
HN-CR,Cortés,Honduras,2020-05-16,1658,113,108
HN-EP,El Paraíso,Honduras,2020-05-16,8,0,0
HN-FM,Francisco Morazán,Honduras,2020-05-16,437,6,60
HN-IN,Intibucá,Honduras,2020-05-16,9,1,3
HN-LP,La Paz,Honduras,2020-05-16,4,0,2
HN-LM,Lempira,Honduras,2020-05-16,8,1,0
HN-OC,Ocotepeque,Honduras,2020-05-16,1,0,1
HN-OL,Olancho,Honduras,2020-05-16,4,0,1
HN-SB,Santa Bárbara,Honduras,2020-05-16,20,2,2
HN-VA,Valle,Honduras,2020-05-16,25,0,2
HN-YO,Yoro,Honduras,2020-05-16,118,4,8
