ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
NI-BO,Nicaragua,Boaco,2021-05-31T17:23:45.216030,310,89,
NI-CA,Nicaragua,Carazo,2021-05-31T17:23:45.216030,238,59,
NI-CI,Nicaragua,Chinandega,2021-05-31T17:23:45.216030,312,70,
NI-CO,Nicaragua,Chontales,2021-05-31T17:23:45.216030,573,151,
NI-ES,Nicaragua,Estelí,2021-05-31T17:23:45.216030,258,112,
NI-GR,Nicaragua,Granada,2021-05-31T17:23:45.216030,983,183,
NI-JI,Nicaragua,Jinotega,2021-05-31T17:23:45.216030,419,115,
NI-LE,Nicaragua,León,2021-05-31T17:23:45.216030,1088,150,
NI-MD,Nicaragua,Madriz,2021-05-31T17:23:45.216030,1234,255,
NI-MN,Nicaragua,Managua,2021-05-31T17:23:45.216030,674,83,
NI-MS,Nicaragua,Masaya,2021-05-31T17:23:45.216030,6153,978,
NI-MT,Nicaragua,Matagalpa,2021-05-31T17:23:45.216030,1,0,
NI-AN,Nicaragua,NCCAR,2021-05-31T17:23:45.216030,1,0,
NI-NS,Nicaragua,Nueva Segovia,2021-05-31T17:23:45.216030,1998,267,
NI-RI,Nicaragua,Rio San Juan,2021-05-31T17:23:45.216030,1,0,
NI-SJ,Nicaragua,Rivas,2021-05-31T17:23:45.216030,757,87,
NI-AS,Nicaragua,SCCAR,2021-05-31T17:23:45.216030,266,99,
