ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
PE-AMA,Peru,Amazonas,2020-10-18,16,,0
PE-ANC,Peru,Ancash,2020-10-18,67,4,0
PE-APU,Peru,Apurimac,2020-10-18,3,,0
PE-ARE,Peru,Arequipa,2020-10-18,83,4,0
PE-AYA,Peru,Ayacucho,2020-10-18,9,,0
PE-CAJ,Peru,Cajamarca,2020-10-18,11,,0
PE-CAL,Peru,Callao,2020-10-18,465,16,0
PE-CUS,Peru,Cusco,2020-10-18,57,3,0
PE-HUV,Peru,Huancavelica,2020-10-18,7,1,0
PE-HUC,Peru,Huanuco,2020-10-18,9,,0
PE-ICA,Peru,Ica,2020-10-18,37,2,0
PE-JUN,Peru,Junin,2020-10-18,56,1,0
PE-LAL,Peru,La Libertad,2020-10-18,101,6,0
PE-LAM,Peru,Lambayeque,2020-10-18,302,32,0
PE-LIM,Peru,Lima,2020-10-18,4210,87,0
PE-LOR,Peru,Loreto,2020-10-18,315,5,0
PE-MDD,Peru,Madre de dios,2020-10-18,3,,0
PE-MOQ,Peru,Moquegua,2020-10-18,3,,0
PE-PAS,Peru,Pasco,2020-10-18,8,,0
PE-PIU,Peru,Piura,2020-10-18,68,3,0
PE-PUN,Peru,Puno,2020-10-18,1,,0
PE-SAM,Peru,San Martin,2020-10-18,18,1,0
PE-TAC,Peru,Tacna,2020-10-18,9,,0
PE-TUM,Peru,Tumbes,2020-10-18,27,4,0
PE-UCA,Peru,Ucayali,2020-10-18,12,,0
