ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-05-12,1590,51,
BR-AL,Brazil,Alagoas,2020-05-12,2580,150,
BR-AP,Brazil,Amapa,2020-05-12,2910,86,
BR-AM,Brazil,Amazonas,2020-05-12,14168,1098,
BR-BA,Brazil,Bahia,2020-05-12,6204,225,
BR-CE,Brazil,Ceara,2020-05-12,18412,1280,
BR-DF,Brazil,Distrito Federal,2020-05-12,2979,46,
BR-ES,Brazil,Espiritu Santo,2020-05-12,5087,212,
BR-GO,Brazil,Goias,2020-05-12,1115,52,
BR-MA,Brazil,Maranhao,2020-05-12,8526,423,
BR-MT,Brazil,Mato Grosso,2020-05-12,591,19,
BR-MS,Brazil,Mato Grosso do Sul,2020-05-12,405,12,
BR-MG,Brazil,Minas Gerais,2020-05-12,3435,127,
BR-PA,Brazil,Para,2020-05-12,8616,864,
BR-PB,Brazil,Paraiba,2020-05-12,2777,154,
BR-PR,Brazil,Parana,2020-05-12,1906,113,
BR-PE,Brazil,Pernambuco,2020-05-12,14309,1157,
BR-PI,Brazil,Piaui,2020-05-12,1443,49,
BR-RJ,Brazil,Rio de Janeiro,2020-05-12,18486,1928,
BR-RN,Brazil,Rio Grande do Norte,2020-05-12,2033,93,
BR-RS,Brazil,Rio Grande do Sul,2020-05-12,2917,111,
BR-RO,Brazil,Rondonia,2020-05-12,1460,50,
BR-RR,Brazil,Roraima,2020-05-12,1328,27,
BR-SC,Brazil,Santa Catarina,2020-05-12,3733,73,
BR-SP,Brazil,Sao Paulo,2020-05-12,47719,3949,
BR-SE,Brazil,Sergipe,2020-05-12,2032,37,
BR-TO,Brazil,Tocantins,2020-05-12,828,14,
