ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-06-22,2029,0,1126
CO-ANT,Colombia,Antioquia,2020-06-22,1573,0,679
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-06-22,3477,252,1127
CO-DC,Colombia,Bogota,,0,0,0
CO-BOL,Colombia,Bolivar,2020-06-22,3928,195,1380
CO-BOY,Colombia,Boyaca,,0,0,0
CO-CAL,Colombia,Caldas,,0,0,0
CO-CAQ,Colombia,Caqueta,,0,0,0
CO-CAS,Colombia,Casanare,,0,0,0
CO-CAU,Colombia,Cauca,2020-06-22,923,56,244
CO-CES,Colombia,Cesar,2020-06-22,449,15,73
CO-COR,Colombia,Choco,,0,0,0
CO-CUN,Colombia,Cordoba,,0,0,0
CO-CHO,Colombia,Cundinamarca,2020-06-22,1338,0,441
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-06-22,257,0,222
CO-LAG,Colombia,La Guajira,2020-06-22,109,8,51
CO-MAG,Colombia,Magdalena,2020-06-22,780,58,402
CO-MET,Colombia,Meta,2020-06-22,990,0,895
CO-NAR,Colombia,Narino,,0,0,0
CO-NSA,Colombia,Norte de Santander,2020-06-22,312,22,164
CO-PUT,Colombia,Putumayo,2020-06-22,0,3,0
CO-QUI,Colombia,Quindio,,0,0,0
CO-RIS,Colombia,Risaralda,2020-06-22,0,0,232
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-06-22,131,4,0
CO-TOL,Colombia,Tolima,2020-06-22,291,12,207
CO-VAC,Colombia,Valle del Cauca,2020-06-22,3914,198,1683
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
