CountryCode ;TimeZoneId;GMT offset 1. Jan 2020; DST offset 1. Jul 2020;rawOffset (independant of DST)
AI;America/Anguilla;-4;-4;-4
AG;America/Antigua;-4;-4;-4
BR;America/Araguaina;-3;-3;-3
AR;America/Argentina/Buenos_Aires;-3;-3;-3
AR;America/Argentina/Catamarca;-3;-3;-3
AR;America/Argentina/Cordoba;-3;-3;-3
AR;America/Argentina/Jujuy;-3;-3;-3
AR;America/Argentina/La_Rioja;-3;-3;-3
AR;America/Argentina/Mendoza;-3;-3;-3
AR;America/Argentina/Rio_Gallegos;-3;-3;-3
AR;America/Argentina/Salta;-3;-3;-3
AR;America/Argentina/San_Juan;-3;-3;-3
AR;America/Argentina/San_Luis;-3;-3;-3
AR;America/Argentina/Tucuman;-3;-3;-3
AR;America/Argentina/Ushuaia;-3;-3;-3
AW;America/Aruba;-4;-4;-4
PY;America/Asuncion;-3;-4;-4
CA;America/Atikokan;-5;-5;-5
BR;America/Bahia;-3;-3;-3
MX;America/Bahia_Banderas;-6;-5;-6
BB;America/Barbados;-4;-4;-4
BR;America/Belem;-3;-3;-3
BZ;America/Belize;-6;-6;-6
CA;America/Blanc-Sablon;-4;-4;-4
BR;America/Boa_Vista;-4;-4;-4
CO;America/Bogota;-5;-5;-5
CA;America/Cambridge_Bay;-7;-6;-7
BR;America/Campo_Grande;-4;-4;-4
MX;America/Cancun;-5;-5;-5
VE;America/Caracas;-4;-4;-4
GF;America/Cayenne;-3;-3;-3
KY;America/Cayman;-5;-5;-5
MX;America/Chihuahua;-7;-6;-7
CR;America/Costa_Rica;-6;-6;-6
CA;America/Creston;-7;-7;-7
BR;America/Cuiaba;-4;-4;-4
CW;America/Curacao;-4;-4;-4
GL;America/Danmarkshavn;0;0;0
CA;America/Dawson;-8;-7;-8
CA;America/Dawson_Creek;-7;-7;-7
DM;America/Dominica;-4;-4;-4
CA;America/Edmonton;-7;-6;-7
BR;America/Eirunepe;-5;-5;-5
SV;America/El_Salvador;-6;-6;-6
CA;America/Fort_Nelson;-7;-7;-7
BR;America/Fortaleza;-3;-3;-3
CA;America/Glace_Bay;-4;-3;-4
GL;America/Godthab;-3;-2;-3
CA;America/Goose_Bay;-4;-3;-4
TC;America/Grand_Turk;-5;-4;-5
GD;America/Grenada;-4;-4;-4
GP;America/Guadeloupe;-4;-4;-4
GT;America/Guatemala;-6;-6;-6
EC;America/Guayaquil;-5;-5;-5
GY;America/Guyana;-4;-4;-4
CA;America/Halifax;-4;-3;-4
CU;America/Havana;-5;-4;-5
MX;America/Hermosillo;-7;-7;-7
CA;America/Inuvik;-7;-6;-7
CA;America/Iqaluit;-5;-4;-5
JM;America/Jamaica;-5;-5;-5
BQ;America/Kralendijk;-4;-4;-4
BO;America/La_Paz;-4;-4;-4
PE;America/Lima;-5;-5;-5
SX;America/Lower_Princes;-4;-4;-4
BR;America/Maceio;-3;-3;-3
NI;America/Managua;-6;-6;-6
BR;America/Manaus;-4;-4;-4
MF;America/Marigot;-4;-4;-4
MQ;America/Martinique;-4;-4;-4
MX;America/Matamoros;-6;-5;-6
MX;America/Mazatlan;-7;-6;-7
MX;America/Merida;-6;-5;-6
MX;America/Mexico_City;-6;-5;-6
PM;America/Miquelon;-3;-2;-3
CA;America/Moncton;-4;-3;-4
MX;America/Monterrey;-6;-5;-6
UY;America/Montevideo;-3;-3;-3
MS;America/Montserrat;-4;-4;-4
BS;America/Nassau;-5;-4;-5
CA;America/Nipigon;-5;-4;-5
BR;America/Noronha;-2;-2;-2
MX;America/Ojinaga;-7;-6;-7
PA;America/Panama;-5;-5;-5
CA;America/Pangnirtung;-5;-4;-5
SR;America/Paramaribo;-3;-3;-3
HT;America/Port-au-Prince;-5;-4;-5
TT;America/Port_of_Spain;-4;-4;-4
BR;America/Porto_Velho;-4;-4;-4
PR;America/Puerto_Rico;-4;-4;-4
CL;America/Punta_Arenas;-3;-3;-3
CA;America/Rainy_River;-6;-5;-6
CA;America/Rankin_Inlet;-6;-5;-6
BR;America/Recife;-3;-3;-3
CA;America/Regina;-6;-6;-6
CA;America/Resolute;-6;-5;-6
BR;America/Rio_Branco;-5;-5;-5
BR;America/Santarem;-3;-3;-3
CL;America/Santiago;-3;-4;-4
DO;America/Santo_Domingo;-4;-4;-4
BR;America/Sao_Paulo;-3;-3;-3
GL;America/Scoresbysund;-1;0;-1
BL;America/St_Barthelemy;-4;-4;-4
CA;America/St_Johns;-3.5;-2.5;-3.5
KN;America/St_Kitts;-4;-4;-4
LC;America/St_Lucia;-4;-4;-4
VI;America/St_Thomas;-4;-4;-4
VC;America/St_Vincent;-4;-4;-4
CA;America/Swift_Current;-6;-6;-6
HN;America/Tegucigalpa;-6;-6;-6
GL;America/Thule;-4;-3;-4
CA;America/Thunder_Bay;-5;-4;-5
MX;America/Tijuana;-8;-7;-8
CA;America/Toronto;-5;-4;-5
VG;America/Tortola;-4;-4;-4
CA;America/Vancouver;-8;-7;-8
CA;America/Whitehorse;-8;-7;-8
CA;America/Winnipeg;-6;-5;-6
CA;America/Yellowknife;-7;-6;-7
